GEOID_TEXT,GEOID,NAME,borough,total_population,total_households,no_vehicle_households,no_vehicle_rate,total_workers_16_plus,public_transit_workers,public_transit_commute_rate,under_18_population,under_18_rate,age_65_plus_population,age_65_plus_rate,white_non_hispanic_population,white_non_hispanic_rate,black_non_hispanic_population,black_non_hispanic_rate,asian_non_hispanic_population,asian_non_hispanic_rate,hispanic_population,hispanic_rate,limited_english_households,limited_english_rate,TRACT_GEOID,tract_poverty_universe,tract_below_poverty_population,tract_poverty_rate,tract_disability_universe,tract_disabled_population,tract_disability_rate,tract_insurance_universe,tract_uninsured_population,tract_uninsured_rate,ALAND,land_area_sq_km,population_density_per_sq_km,ewm_accessibility_score
360850105001,360850105001,Block Group 1; Census Tract 105; Richmond County; New York,Staten Island,664,209,67,0.3205741626794258,363,102,0.2809917355371901,155,0.233433734939759,94,0.1415662650602409,82,0.1234939759036144,174,0.2620481927710843,0,0.0,171,0.2575301204819277,26,0.124401913875598,36085010500,5635,983,0.1744454303460514,5635,555,0.0984915705412599,5635,406,0.0720496894409937,143753,0.143753,4619.034037550521,0.9623496820366968
360850170091,360850170091,Block Group 1; Census Tract 170.09; Richmond County; New York,Staten Island,1024,329,71,0.21580547112462,431,71,0.1647331786542923,233,0.2275390625,139,0.1357421875,689,0.6728515625,0,0.0,13,0.0126953125,262,0.255859375,17,0.0516717325227963,36085017009,4870,144,0.0295687885010266,4880,398,0.0815573770491803,4880,140,0.0286885245901639,308383,0.308383,3320.5462039087756,0.8220246549863687
360850170111,360850170111,Block Group 1; Census Tract 170.11; Richmond County; New York,Staten Island,2021,824,170,0.2063106796116504,1003,237,0.2362911266201395,159,0.0786739238000989,546,0.2701632855022266,1835,0.9079663532904504,4,0.0019792182088075,17,0.0084116773874319,137,0.0677882236516576,0,0.0,36085017011,4731,625,0.1321073768759247,4745,683,0.143940990516333,4745,28,0.0059009483667017,364938,0.364938,5537.9269903380855,0.865706640383774
360850170121,360850170121,Block Group 1; Census Tract 170.12; Richmond County; New York,Staten Island,2069,670,199,0.2970149253731343,926,113,0.1220302375809935,472,0.2281295311744804,373,0.1802803286611889,1548,0.7481875302078299,0,0.0,224,0.1082648622522958,297,0.1435476075398743,40,0.0597014925373134,36085017012,5363,392,0.0730934178631363,5363,531,0.0990117471564422,5363,7,0.0013052396046988,335779,0.335779,6161.790939874143,0.5773949122087663
360850170131,360850170131,Block Group 1; Census Tract 170.13; Richmond County; New York,Staten Island,2671,804,230,0.2860696517412935,1034,85,0.0822050290135396,485,0.1815799326095095,657,0.2459752901535005,1787,0.6690378135529764,0,0.0,502,0.187944590041183,368,0.1377761138150505,0,0.0,36085017013,4617,127,0.0275070392029456,4617,262,0.0567468052848169,4617,93,0.0201429499675113,272826,0.272826,9790.122642270164,0.7076566651787447
360850170141,360850170141,Block Group 1; Census Tract 170.14; Richmond County; New York,Staten Island,2597,907,199,0.2194046306504961,1338,287,0.2144992526158445,461,0.1775125144397381,549,0.2113977666538313,1974,0.7601078167115903,0,0.0,57,0.0219484020023103,529,0.2036965729688101,19,0.0209481808158765,36085017014,4141,203,0.0490219753682685,4141,449,0.1084279159623279,4141,181,0.0437092489736778,248849,0.248849,10436.04756297996,0.692320661587218
360850170151,360850170151,Block Group 1; Census Tract 170.15; Richmond County; New York,Staten Island,3167,1100,192,0.1745454545454545,1508,345,0.2287798408488063,562,0.1774550047363435,583,0.1840858856962425,2804,0.8853804862646037,0,0.0,0,0.0,155,0.048942216608778,0,0.0,36085017015,3167,8,0.0025260498894853,3167,451,0.1424060625197347,3167,0,0.0,457623,0.457623,6920.543766375379,0.7004669328710197
360850170161,360850170161,Block Group 1; Census Tract 170.16; Richmond County; New York,Staten Island,2534,945,200,0.2116402116402116,1453,200,0.1376462491397109,359,0.1416732438831886,311,0.122730860299921,1655,0.6531176006314128,0,0.0,472,0.186266771902131,407,0.1606156274664562,42,0.0444444444444444,36085017016,4459,113,0.0253420049338416,4449,604,0.1357608451337379,4449,119,0.0267475837266801,364310,0.36431,6955.6147237243,0.5820920267970184
360850173001,360850173001,Block Group 1; Census Tract 173; Richmond County; New York,Staten Island,1876,501,155,0.3093812375249501,1015,234,0.2305418719211822,470,0.2505330490405117,268,0.1428571428571428,543,0.2894456289978678,126,0.0671641791044776,524,0.279317697228145,665,0.3544776119402985,39,0.0778443113772455,36085017300,2786,324,0.1162957645369705,2791,474,0.1698316015764958,2791,226,0.0809745610892153,276824,0.276824,6776.869057596162,0.3415235431452536
360850176001,360850176001,Block Group 1; Census Tract 176; Richmond County; New York,Staten Island,1304,415,74,0.1783132530120482,586,50,0.0853242320819112,438,0.3358895705521472,158,0.1211656441717791,1086,0.8328220858895705,0,0.0,189,0.1449386503067484,29,0.0222392638036809,11,0.0265060240963855,36085017600,5169,71,0.0137357322499516,5169,448,0.0866705358870187,5169,105,0.02031340684852,1122759,1.122759,1161.4246690518623,0.9523270456440396
360850177011,360850177011,Block Group 1; Census Tract 177.01; Richmond County; New York,Staten Island,962,296,0,0.0,658,135,0.2051671732522796,179,0.186070686070686,134,0.1392931392931393,565,0.5873180873180873,0,0.0,75,0.0779625779625779,274,0.2848232848232848,0,0.0,36085017701,4246,378,0.089024964672633,4246,842,0.1983042863871879,4246,3,0.0007065473386716,408346,0.408346,2355.8452880645336,0.8451285459065995
