GEOID_TEXT,GEOID,NAME,borough,total_population,total_households,no_vehicle_households,no_vehicle_rate,total_workers_16_plus,public_transit_workers,public_transit_commute_rate,under_18_population,under_18_rate,age_65_plus_population,age_65_plus_rate,white_non_hispanic_population,white_non_hispanic_rate,black_non_hispanic_population,black_non_hispanic_rate,asian_non_hispanic_population,asian_non_hispanic_rate,hispanic_population,hispanic_rate,limited_english_households,limited_english_rate,TRACT_GEOID,tract_poverty_universe,tract_below_poverty_population,tract_poverty_rate,tract_disability_universe,tract_disabled_population,tract_disability_rate,tract_insurance_universe,tract_uninsured_population,tract_uninsured_rate,ALAND,land_area_sq_km,population_density_per_sq_km,ewm_accessibility_score
360471004001,360471004001,Block Group 1; Census Tract 1004; Kings County; New York,Brooklyn,2423,821,443,0.5395858708891595,1008,424,0.4206349206349206,504,0.2080066033842344,416,0.1716879900949236,91,0.0375567478332645,2085,0.8605035080478746,29,0.0119686339248865,96,0.0396203054065208,90,0.1096224116930572,36047100400,2423,283,0.1167973586463062,2423,336,0.1386710689228229,2423,198,0.0817168799009492,132054,0.132054,18348.554379269088,0.6440040768315525
360470106011,360470106011,Block Group 1; Census Tract 106.01; Kings County; New York,Brooklyn,1058,327,327,1.0,432,138,0.3194444444444444,333,0.3147448015122873,150,0.1417769376181474,8,0.0075614366729678,0,0.0,932,0.8809073724007561,118,0.1115311909262759,243,0.7431192660550459,36047010601,2138,785,0.3671655753040224,2138,122,0.0570626753975678,2138,155,0.0724976613657624,37679,0.037679,28079.301467661033,0.8857407860825137
360470106021,360470106021,Block Group 1; Census Tract 106.02; Kings County; New York,Brooklyn,978,323,282,0.8730650154798761,317,103,0.3249211356466877,161,0.1646216768916155,323,0.3302658486707566,77,0.0787321063394683,0,0.0,774,0.7914110429447853,88,0.0899795501022494,254,0.7863777089783281,36047010602,2088,220,0.1053639846743295,2088,132,0.0632183908045977,2088,45,0.021551724137931,37762,0.037762,25899.051956993804,0.8094796823831962
360471070011,360471070011,Block Group 1; Census Tract 1070.01; Kings County; New York,Brooklyn,4672,2103,1578,0.7503566333808844,2128,1173,0.5512218045112782,1412,0.3022260273972603,452,0.0967465753424657,10,0.0021404109589041,3088,0.660958904109589,0,0.0,1140,0.2440068493150685,94,0.0446980504041845,36047107001,4670,568,0.121627408993576,4672,522,0.1117294520547945,4672,50,0.0107020547945205,1207190,1.20719,3870.144716241851,0.4724009975329402
360471078001,360471078001,Block Group 1; Census Tract 1078; Kings County; New York,Brooklyn,848,351,212,0.603988603988604,391,227,0.5805626598465473,141,0.1662735849056603,232,0.2735849056603773,29,0.0341981132075471,537,0.6332547169811321,6,0.0070754716981132,22,0.025943396226415,0,0.0,36047107800,3687,273,0.0740439381611065,3687,508,0.1377813940873338,3687,74,0.0200705180363439,207892,0.207892,4079.041040540281,0.5941550255679454
360470108011,360470108011,Block Group 1; Census Tract 108.01; Kings County; New York,Brooklyn,863,244,228,0.9344262295081968,400,145,0.3625,257,0.2977983777520278,75,0.0869061413673232,35,0.0405561993047508,0,0.0,704,0.8157589803012746,118,0.1367323290845886,151,0.6188524590163934,36047010801,1878,555,0.2955271565495208,1878,143,0.0761448349307774,1878,175,0.0931842385516506,37782,0.037782,22841.564766290823,0.9409245606864324
360470108021,360470108021,Block Group 1; Census Tract 108.02; Kings County; New York,Brooklyn,1320,432,348,0.8055555555555556,757,221,0.2919418758256275,217,0.1643939393939394,141,0.1068181818181818,45,0.034090909090909,79,0.0598484848484848,1053,0.7977272727272727,106,0.0803030303030303,248,0.5740740740740741,36047010802,2396,656,0.2737896494156928,2419,101,0.04175279040926,2419,107,0.0442331541959487,37734,0.037734,34981.7141039911,0.9291337667611904
360471104001,360471104001,Block Group 1; Census Tract 1104; Kings County; New York,Brooklyn,888,224,198,0.8839285714285714,292,178,0.6095890410958904,372,0.4189189189189189,60,0.0675675675675675,0,0.0,683,0.7691441441441441,0,0.0,179,0.2015765765765765,17,0.0758928571428571,36047110400,5199,1266,0.2435083669936526,5199,734,0.141180996345451,5199,237,0.0455856895556837,328583,0.328583,2702.5135201760286,0.8075470839138225
360471106001,360471106001,Block Group 1; Census Tract 1106; Kings County; New York,Brooklyn,2092,1034,1034,1.0,528,271,0.5132575757575758,605,0.2891969407265774,406,0.1940726577437858,24,0.011472275334608,1620,0.7743785850860421,0,0.0,391,0.1869024856596558,16,0.0154738878143133,36047110600,4117,1607,0.3903327665776051,4117,1056,0.2564974495992227,4117,190,0.0461501093028904,88919,0.088919,23527.03021851348,0.6009992600530303
360470110001,360470110001,Block Group 1; Census Tract 110; Kings County; New York,Brooklyn,1594,318,314,0.9874213836477987,519,293,0.5645472061657033,178,0.1116687578419071,225,0.1411543287327478,255,0.1599749058971142,0,0.0,674,0.4228356336260979,660,0.4140526976160602,180,0.5660377358490566,36047011000,2530,371,0.1466403162055336,2535,195,0.0769230769230769,2535,158,0.06232741617357,100239,0.100239,15901.994233781264,0.9064198927933224
360471110001,360471110001,Block Group 1; Census Tract 1110; Kings County; New York,Brooklyn,1902,951,951,1.0,515,353,0.6854368932038835,481,0.2528916929547844,232,0.1219768664563617,0,0.0,1168,0.6140904311251314,0,0.0,699,0.3675078864353312,27,0.028391167192429,36047111000,2984,1052,0.3525469168900804,2984,785,0.2630697050938337,2984,72,0.0241286863270777,66124,0.066124,28764.140100417397,0.8191521548947706
