GEOID_TEXT,GEOID,NAME,borough,total_population,total_households,no_vehicle_households,no_vehicle_rate,total_workers_16_plus,public_transit_workers,public_transit_commute_rate,under_18_population,under_18_rate,age_65_plus_population,age_65_plus_rate,white_non_hispanic_population,white_non_hispanic_rate,black_non_hispanic_population,black_non_hispanic_rate,asian_non_hispanic_population,asian_non_hispanic_rate,hispanic_population,hispanic_rate,limited_english_households,limited_english_rate,TRACT_GEOID,tract_poverty_universe,tract_below_poverty_population,tract_poverty_rate,tract_disability_universe,tract_disabled_population,tract_disability_rate,tract_insurance_universe,tract_uninsured_population,tract_uninsured_rate,ALAND,land_area_sq_km,population_density_per_sq_km,ewm_accessibility_score
360610010011,360610010011,Block Group 1; Census Tract 10.01; New York County; New York,Manhattan,1745,812,472,0.5812807881773399,983,349,0.3550356052899288,329,0.188538681948424,334,0.191404011461318,997,0.5713467048710602,52,0.0297994269340974,204,0.1169054441260745,323,0.1851002865329513,32,0.0394088669950738,36061001001,1745,69,0.0395415472779369,1745,109,0.0624641833810888,1745,0,0.0,80143,0.080143,21773.579726239343,0.7315615313739071
360610115001,360610115001,Block Group 1; Census Tract 115; New York County; New York,Manhattan,1421,758,691,0.9116094986807388,957,303,0.3166144200626959,68,0.047853624208304,119,0.083743842364532,421,0.2962702322308234,111,0.0781140042223786,570,0.4011259676284306,302,0.2125263898662913,50,0.0659630606860158,36061011500,3910,781,0.1997442455242966,3947,352,0.0891816569546491,3947,238,0.060298961236382,87821,0.087821,16180.64016579178,0.7230913734418147
360610116001,360610116001,Block Group 1; Census Tract 116; New York County; New York,Manhattan,627,334,311,0.9311377245508982,282,82,0.2907801418439716,42,0.0669856459330143,7,0.011164274322169,348,0.5550239234449761,46,0.0733652312599681,137,0.2185007974481658,96,0.1531100478468899,0,0.0,36061011600,2607,316,0.1212121212121212,2710,369,0.1361623616236162,2710,24,0.0088560885608856,160959,0.160959,3895.401934654167,0.9421580721816762
360610117001,360610117001,Block Group 1; Census Tract 117; New York County; New York,Manhattan,1440,930,930,1.0,1141,419,0.3672217353198948,0,0.0,58,0.0402777777777777,690,0.4791666666666667,111,0.0770833333333333,284,0.1972222222222222,164,0.1138888888888888,0,0.0,36061011700,5363,485,0.090434458325564,5363,297,0.055379451799366,5363,249,0.0464292373671452,87124,0.087124,16528.16675083789,0.7796873673036834
360610118001,360610118001,Block Group 1; Census Tract 118; New York County; New York,Manhattan,1680,959,478,0.4984358706986444,616,145,0.2353896103896104,333,0.1982142857142857,534,0.3178571428571428,1483,0.8827380952380952,36,0.0214285714285714,161,0.0958333333333333,0,0.0,43,0.0448383733055265,36061011800,9264,676,0.0729706390328152,9264,1485,0.1602979274611398,9264,56,0.0060449050086355,17510,0.01751,95945.17418617933,0.7981942426935109
360610119001,360610119001,Block Group 1; Census Tract 119; New York County; New York,Manhattan,435,362,362,1.0,79,31,0.3924050632911392,22,0.0505747126436781,311,0.7149425287356321,127,0.2919540229885057,201,0.4620689655172413,6,0.0137931034482758,65,0.1494252873563218,37,0.1022099447513812,36061011900,1319,604,0.4579226686884003,1352,623,0.4607988165680473,1352,50,0.03698224852071,88724,0.088724,4902.844777061449,0.6755312562403024
360610120001,360610120001,Block Group 1; Census Tract 120; New York County; New York,Manhattan,679,388,373,0.961340206185567,199,96,0.4824120603015075,158,0.2326951399116347,302,0.4447717231222385,513,0.7555228276877761,0,0.0,131,0.1929307805596465,18,0.0265095729013254,0,0.0,36061012000,3489,280,0.0802522212668386,3489,280,0.0802522212668386,3489,16,0.0045858412152479,24806,0.024806,27372.409900830444,0.7476747766127381
360610121011,360610121011,Block Group 1; Census Tract 121.01; New York County; New York,Manhattan,967,567,547,0.964726631393298,819,199,0.2429792429792429,19,0.0196483971044467,35,0.0361944157187176,417,0.4312306101344364,85,0.0879007238883143,85,0.0879007238883143,198,0.2047569803516029,0,0.0,36061012101,3207,945,0.29466791393826,3207,349,0.1088244465232304,3207,219,0.0682881197380729,45262,0.045262,21364.50002209359,0.7116319043733472
360610121021,360610121021,Block Group 1; Census Tract 121.02; New York County; New York,Manhattan,1895,1258,1258,1.0,1146,285,0.2486910994764398,27,0.0142480211081794,891,0.4701846965699208,1192,0.629023746701847,41,0.0216358839050131,158,0.083377308707124,302,0.1593667546174142,111,0.088235294117647,36061012102,4984,536,0.1075441412520064,5029,1350,0.2684430304235434,5029,88,0.0174985086498309,27668,0.027668,68490.67514818562,0.758597614543967
360610122001,360610122001,Block Group 1; Census Tract 122; New York County; New York,Manhattan,707,396,278,0.702020202020202,435,125,0.2873563218390804,24,0.0339462517680339,308,0.4356435643564356,613,0.867043847241867,0,0.0,32,0.0452616690240452,62,0.0876944837340877,0,0.0,36061012200,3103,65,0.0209474701901385,3103,297,0.0957138253303254,3103,0,0.0,49456,0.049456,14295.535425428665,0.723325055927994
360610124001,360610124001,Block Group 1; Census Tract 124; New York County; New York,Manhattan,1143,847,847,1.0,886,629,0.7099322799097065,25,0.0218722659667541,78,0.0682414698162729,732,0.6404199475065617,56,0.0489938757655293,127,0.1111111111111111,175,0.153105861767279,28,0.0330578512396694,36061012400,8258,445,0.0538871397432792,8670,722,0.083275663206459,8670,142,0.0163783160322952,38419,0.038419,29750.904500377415,0.8898768830292996
