TRACT_GEOID,borough,tract_poverty_universe,tract_below_poverty_population,tract_poverty_rate,tract_disability_universe,tract_disabled_population,tract_disability_rate,tract_insurance_universe,tract_uninsured_population,tract_uninsured_rate
36005005902,Bronx,3019,1030,0.3411725736999006,3019,424,0.1404438555813183,3019,306,0.10135806558463067
36005006000,Bronx,1264,183,0.14477848101265822,1280,128,0.1,1280,45,0.03515625
36005006100,Bronx,3351,359,0.10713219934347956,3369,947,0.2810923122588305,3369,136,0.04036806173938854
36005006200,Bronx,6363,2998,0.47116140185447114,6363,1025,0.1610875373251611,6363,697,0.10953952538110955
36005006301,Bronx,7038,2425,0.3445581131003126,7053,997,0.14135828725365093,7053,902,0.12788884162767616
36005006302,Bronx,0,0,,0,0,,0,0,
36005006400,Bronx,4054,1671,0.41218549580661074,4194,420,0.10014306151645208,4194,279,0.06652360515021459
36005006500,Bronx,4980,2702,0.542570281124498,5008,707,0.1411741214057508,5008,93,0.0185702875399361
36005006700,Bronx,7588,4164,0.5487612018977333,7664,2566,0.33481210855949894,7664,704,0.0918580375782881
36005006800,Bronx,2542,884,0.34775767112509837,2542,388,0.15263571990558616,2542,303,0.11919748229740362
36005006900,Bronx,6077,2378,0.39131150238604573,6077,1202,0.197794964620701,6077,532,0.0875431956557512
36005007000,Bronx,4402,1540,0.34984098137210357,4402,543,0.12335302135393003,4402,599,0.13607451158564288
36005007100,Bronx,2802,1021,0.36438258386866523,2802,630,0.22483940042826553,2802,67,0.023911491791577446
36005007200,Bronx,4845,905,0.1867905056759546,4845,510,0.10526315789473684,4845,738,0.1523219814241486
36005007300,Bronx,4325,1720,0.3976878612716763,4325,526,0.12161849710982658,4325,277,0.06404624277456647
36005007400,Bronx,3280,632,0.1926829268292683,3280,405,0.12347560975609756,3280,18,0.00548780487804878
36005007500,Bronx,6353,2753,0.4333385801983315,6353,1203,0.18935935778372423,6353,405,0.06374940972768771
36005007600,Bronx,5244,1071,0.204233409610984,5252,560,0.10662604722010663,5252,734,0.13975628332063975
36005007700,Bronx,1966,535,0.27212614445574773,1966,602,0.306205493387589,1966,133,0.0676500508646999
36005007800,Bronx,5633,1651,0.29309426593289545,5633,938,0.16651872891887093,5633,760,0.13491922598970355
36005007900,Bronx,6809,2128,0.31252753708327213,6829,1449,0.2121833357739054,6829,438,0.06413823400205008
36005008300,Bronx,6285,1895,0.3015115354017502,6287,1554,0.2471767138539844,6287,661,0.10513758549387625
36005008400,Bronx,3036,470,0.15480895915678525,3108,628,0.20205920205920205,3108,79,0.02541827541827542
36005008500,Bronx,5861,1574,0.26855485412045726,5866,1099,0.1873508353221957,5866,526,0.0896692806000682
36005008600,Bronx,3813,1832,0.4804615788093365,3849,1172,0.30449467394128343,3849,734,0.19069888282670824
36005008700,Bronx,5738,2120,0.3694667131404671,5807,1162,0.2001033235749957,5807,402,0.06922679524711554
36005008900,Bronx,2919,754,0.2583076396026036,2947,1093,0.3708856464200882,2947,260,0.08822531387852053
36005009000,Bronx,3764,1613,0.42853347502656747,3861,965,0.24993524993524993,3861,80,0.02072002072002072
36005009200,Bronx,5888,934,0.15862771739130435,5888,657,0.11158288043478261,5888,595,0.10105298913043478
36005009301,Bronx,5623,1460,0.25964787479992885,5714,1124,0.1967098354917746,5714,697,0.12198109905495275
36005009302,Bronx,84,28,0.3333333333333333,84,84,1.0,84,0,0.0
36005009600,Bronx,1780,369,0.20730337078651687,1780,196,0.1101123595505618,1780,115,0.06460674157303371
36005009800,Bronx,4071,504,0.12380250552689757,4071,1006,0.24711373126995825,4071,280,0.06877916973716532
36005011000,Bronx,0,0,,0,0,,0,0,
36005011502,Bronx,3928,1509,0.3841649694501018,3935,866,0.22007623888182973,3935,54,0.01372299872935197
36005011701,Bronx,1262,199,0.1576862123613312,1262,295,0.23375594294770205,1262,79,0.06259904912836767
36005011702,Bronx,0,0,,0,0,,0,0,
36005011800,Bronx,3823,460,0.12032435260266806,5027,586,0.11657051919633976,5027,210,0.041774418142033025
36005011900,Bronx,5842,1343,0.22988702499144129,5826,1281,0.21987641606591143,5826,99,0.016992790937178166
36005012101,Bronx,3293,1067,0.3240206498633465,3293,731,0.22198603097479502,3293,180,0.054661402976009715
36005012102,Bronx,1399,557,0.39814152966404576,1429,530,0.370888733379986,1429,80,0.05598320503848846
36005012300,Bronx,4712,1511,0.3206706281833616,4712,1358,0.2882003395585739,4712,249,0.052843803056027164
36005012500,Bronx,3989,1188,0.29781900225620456,4001,571,0.1427143214196451,4001,190,0.047488127968008
36005012701,Bronx,2102,706,0.3358705994291151,2129,579,0.27195866604039454,2129,151,0.07092531705025834
36005012901,Bronx,4754,2143,0.45077829196466135,4921,1654,0.3361105466368624,4921,253,0.051412314570209304
36005013000,Bronx,1388,325,0.23414985590778098,1388,265,0.1909221902017291,1388,62,0.0446685878962536
36005013100,Bronx,5277,2083,0.39473185522076937,5288,1725,0.3262102874432678,5288,188,0.03555219364599092
36005013200,Bronx,7083,397,0.056049696456303824,7083,1809,0.2554002541296061,7083,276,0.038966539601863616
36005013300,Bronx,6087,2857,0.46936093313619187,6087,1733,0.28470510924921966,6087,101,0.016592738623295546
36005013500,Bronx,4075,1977,0.4851533742331288,4075,925,0.22699386503067484,4075,91,0.022331288343558284
36005013800,Bronx,3062,568,0.18549967341606793,3062,615,0.20084911822338342,3062,75,0.02449379490529066
36005014100,Bronx,7856,2133,0.2715122199592668,7744,1466,0.18930785123966942,7744,475,0.06133780991735537
